id,category,TYPE,VRRM,IF(AV) ,IFSM,VF,IR ,Trr ,TJ Max.,Package,file_id
1,5,MB2F,200,0.8,30,1,5,-,150,MBF,481
2,5,MB4F,400,0.8,30,1,5,-,150,MBF,481
3,5,MB6F,600,0.8,30,1,5,-,150,MBF,481
4,5,MB8F,800,0.8,30,1,5,-,150,MBF,481
5,5,MB10F,1000,0.8,30,1,5,-,150,MBF,481
6,5,MB2S,200,0.8,30,1,5,-,150,MBS,482
7,5,MB4S,400,0.8,30,1,5,-,150,MBS,482
8,5,MB6S,600,0.8,30,1,5,-,150,MBS,482
9,5,MB8S,800,0.8,30,1,5,-,150,MBS,482
10,5,MB10S,1000,0.8,30,1,5,-,150,MBS,482
11,5,MB1M,100,0.8,30,1,5,-,150,MBM,480
12,5,MB2M,200,0.8,30,1,5,-,150,MBM,480
13,5,MB4M,400,0.8,30,1,5,-,150,MBM,480
14,5,MB6M,600,0.8,30,1,5,-,150,MBM,480
15,5,MB8M,800,0.8,30,1,5,-,150,MBM,480
16,5,MB10M,1000,0.8,30,1,5,-,150,MBM,480
17,5,ABS2,200,1,35,1,5,-,150,ABS,413
18,5,ABS4,400,1,35,1,5,-,150,ABS,413
19,5,ABS6,600,1,35,1,5,-,150,ABS,413
20,5,ABS8,800,1,35,1,5,-,150,ABS,413
21,5,ABS10,1000,1,35,1,5,-,150,ABS,413
22,5,ABS152,200,1.5,50,1,5,-,150,ABS,415
23,5,ABS154,400,1.5,50,1,5,-,150,ABS,415
24,5,ABS156,600,1.5,50,1,5,-,150,ABS,415
25,5,ABS158,800,1.5,50,1,5,-,150,ABS,415
26,5,ABS1510,1000,1.5,50,1,5,-,150,ABS,415
27,5,ABS22,200,2,60,1,5,-,150,ABS,414
28,5,ABS24,400,2,60,1,5,-,150,ABS,414
29,5,ABS26,600,2,60,1,5,-,150,ABS,414
30,5,ABS28,800,2,60,1,5,-,150,ABS,414
31,5,ABS210,1000,2,60,1,5,-,150,ABS,414
32,5,DB101S,50,1,45,1,5,-,150,DBS,417
33,5,DB102S,100,1,45,1,5,-,150,DBS,417
34,5,DB103S,200,1,45,1,5,-,150,DBS,417
35,5,DB104S,400,1,45,1,5,-,150,DBS,417
36,5,DB105S,600,1,45,1,5,-,150,DBS,417
37,5,DB106S,800,1,45,1,5,-,150,DBS,417
38,5,DB107S,1000,1,45,1,5,-,150,DBS,417
39,5,DB151S,50,1.5,55,1,5,-,150,DBS,419
40,5,DB152S,100,1.5,55,1,5,-,150,DBS,419
41,5,DB153S,200,1.5,55,1,5,-,150,DBS,419
42,5,DB154S,400,1.5,55,1,5,-,150,DBS,419
43,5,DB155S,600,1.5,55,1,5,-,150,DBS,419
44,5,DB156S,800,1.5,55,1,5,-,150,DBS,419
45,5,DB157S,1000,1.5,55,1,5,-,150,DBS,419
46,5,DB201S,50,2,60,1,5,-,150,DBS,420
47,5,DB202S,100,2,60,1,5,-,150,DBS,420
48,5,DB203S,200,2,60,1,5,-,150,DBS,420
49,5,DB204S,400,2,60,1,5,-,150,DBS,420
50,5,DB205S,600,2,60,1,5,-,150,DBS,420
51,5,DB206S,800,2,60,1,5,-,150,DBS,420
52,5,DB207S,1000,2,60,1,5,-,150,DBS,420
53,5,DB301S,50,3,80,1,5,-,150,DBS,421
54,5,DB302S,100,3,80,1,5,-,150,DBS,421
55,5,DB303S,200,3,80,1,5,-,150,DBS,421
56,5,DB304S,400,3,80,1,5,-,150,DBS,421
57,5,DB305S,600,3,80,1,5,-,150,DBS,421
58,5,DB306S,800,3,80,1,5,-,150,DBS,421
59,5,DB307S,1000,3,80,1,5,-,150,DBS,421
60,5,DB101,50,1,45,1,5,-,150,DBM,416
61,5,DB102,100,1,45,1,5,-,150,DBM,416
62,5,DB103,200,1,45,1,5,-,150,DBM,416
63,5,DB104,400,1,45,1,5,-,150,DBM,416
64,5,DB105,600,1,45,1,5,-,150,DBM,416
65,5,DB106,800,1,45,1,5,-,150,DBM,416
66,5,DB107,1000,1,45,1,5,-,150,DBM,416
67,5,DB151,50,1.5,55,1,5,-,150,DBM,418
68,5,DB152,100,1.5,55,1,5,-,150,DBM,418
69,5,DB153,200,1.5,55,1,5,-,150,DBM,418
70,5,DB154,400,1.5,55,1,5,-,150,DBM,418
71,5,DB155,600,1.5,55,1,5,-,150,DBM,418
72,5,DB156,800,1.5,55,1,5,-,150,DBM,418
73,5,DB157,1000,1.5,55,1,5,-,150,DBM,418
74,5,KBP2005,50,2,45,1.1,5,-,150,KBP,471
75,5,KBP201,100,2,45,1.1,5,-,150,KBP,471
76,5,KBP202,200,2,45,1.1,5,-,150,KBP,471
77,5,KBP204,400,2,45,1.1,5,-,150,KBP,471
78,5,KBP206,600,2,45,1.1,5,-,150,KBP,471
79,5,KBP208,800,2,45,1.1,5,-,150,KBP,471
80,5,KBP210,1000,2,45,1.1,5,-,150,KBP,471
81,5,KBP2005G,50,2,60,1.1,5,-,150,KBP,470
82,5,KBP201G,100,2,60,1.1,5,-,150,KBP,470
83,5,KBP202G,200,2,60,1.1,5,-,150,KBP,470
84,5,KBP204G,400,2,60,1.1,5,-,150,KBP,470
85,5,KBP206G,600,2,60,1.1,5,-,150,KBP,470
86,5,KBP208G,800,2,60,1.1,5,-,150,KBP,470
87,5,KBP210G,1000,2,60,1.1,5,-,150,KBP,470
88,5,KBP3005,50,2,60,1.1,5,-,150,KBP,473
89,5,KBP301,100,3,60,1.1,5,-,150,KBP,473
90,5,KBP302,200,3,60,1.1,5,-,150,KBP,473
91,5,KBP304,400,3,60,1.1,5,-,150,KBP,473
92,5,KBP306,600,3,60,1.1,5,-,150,KBP,473
93,5,KBP308,800,3,60,1.1,5,-,150,KBP,473
94,5,KBP310,1000,3,60,1.1,5,-,150,KBP,473
95,5,KBP3005G,50,3,80,1.1,5,-,150,KBP,472
96,5,KBP301G,100,3,80,1.1,5,-,150,KBP,472
97,5,KBP302G,200,3,80,1.1,5,-,150,KBP,472
98,5,KBP304G,400,3,80,1.1,5,-,150,KBP,472
99,5,KBP306G,600,3,80,1.1,5,-,150,KBP,472
100,5,KBP308G,800,3,80,1.1,5,-,150,KBP,472
101,5,KBP310G,1000,3,80,1.1,5,-,150,KBP,472
102,5,KBP4005,50,4,80,1.1,5,-,150,KBP,475
103,5,KBP401,100,4,80,1.1,5,-,150,KBP,475
104,5,KBP402,200,4,80,1.1,5,-,150,KBP,475
105,5,KBP404,400,4,80,1.1,5,-,150,KBP,475
106,5,KBP406,600,4,80,1.1,5,-,150,KBP,475
107,5,KBP408,800,4,80,1.1,5,-,150,KBP,475
108,5,KBP410,1000,4,80,1.1,5,-,150,KBP,475
109,5,KBP4005G,50,4,120,1.1,5,-,150,KBP,474
110,5,KBP401G,100,4,120,1.1,5,-,150,KBP,474
111,5,KBP402G,200,4,120,1.1,5,-,150,KBP,474
